Post_ID,Post_Date,Day,Hour,Platform,Content_Type,Content_Category,Followers,Reach,Impressions,Likes,Comments,Shares,Saves,Video_Views,Engagement_Rate,Month,Month_Number,Time_Slot
POST-0037,13-09-2025,Saturday,20,Instagram,Text,Product,6162,2248,3348,49,3,2,5,0,2.62,September,9,Night
POST-0038,16-08-2025,Saturday,13,YouTube,Video,Tutorial,6185,3431,5308,275,45,28,19,1276,10.7,August,8,Afternoon
POST-0039,05-05-2025,Monday,16,YouTube,Image,Product,6219,5245,6258,548,41,30,71,0,13.16,May,5,Evening
POST-0040,27-12-2025,Saturday,12,LinkedIn,Short,Behind the Scenes,6242,2933,4275,339,27,7,35,1584,13.91,December,12,Afternoon
POST-0041,20-06-2025,Friday,16,Instagram,Text,Behind the Scenes,6278,3616,6296,70,7,5,8,0,2.49,June,6,Evening
POST-0042,20-03-2025,Thursday,22,Facebook,Short,Entertainment,6318,2626,3154,225,10,25,24,1327,10.81,March,3,Night
POST-0043,05-11-2025,Wednesday,8,YouTube,Image,Education,6342,2187,3097,66,5,5,7,0,3.8,November,11,Morning
POST-0044,28-02-2025,Friday,16,Facebook,Image,Entertainment,6370,1629,2733,143,7,16,16,0,11.17,February,2,Evening
POST-0045,09-11-2025,Sunday,17,Instagram,Short,Education,6381,3105,4252,68,6,1,7,2381,2.64,November,11,Evening
POST-0046,12-08-2025,Tuesday,12,Facebook,Image,Announcement,6413,2286,2451,54,8,2,1,0,2.84,August,8,Afternoon
POST-0047,11-02-2025,Tuesday,10,Facebook,Short,Announcement,6451,2359,3406,118,18,10,12,854,6.7,February,2,Morning
POST-0048,17-01-2025,Friday,10,Instagram,Short,Education,6472,4497,6280,86,13,5,7,3698,2.47,January,1,Morning
POST-0049,12-06-2025,Thursday,9,Instagram,Image,Entertainment,6514,3527,6157,271,36,9,15,0,9.38,June,6,Morning
POST-0050,14-01-2025,Tuesday,20,LinkedIn,Text,Announcement,6517,4352,6736,141,20,7,10,0,4.09,January,1,Night
POST-0051,21-02-2025,Friday,16,Facebook,Image,Tutorial,6523,1133,1849,86,8,4,2,0,8.83,February,2,Evening
POST-0052,07-07-2025,Monday,20,Instagram,Short,Product,6534,3666,4861,441,71,39,18,2800,15.52,July,7,Night
POST-0053,21-12-2025,Sunday,14,Facebook,Carousel,Education,6556,1949,3356,107,5,10,11,0,6.82,December,12,Afternoon
POST-0054,20-06-2025,Friday,16,Instagram,Image,Product,6584,1729,2889,102,5,8,8,0,7.11,June,6,Evening
POST-0055,23-10-2025,Thursday,22,YouTube,Carousel,Product,6612,1688,1887,188,8,15,23,0,13.86,October,10,Night
POST-0056,01-12-2025,Monday,13,LinkedIn,Carousel,Tutorial,6639,5251,8115,218,19,20,9,0,5.07,December,12,Afternoon
POST-0057,28-10-2025,Tuesday,15,YouTube,Carousel,Tutorial,6675,4252,7349,428,15,48,16,0,11.92,October,10,Afternoon
POST-0058,18-08-2025,Monday,17,Instagram,Video,Product,6698,1818,2795,172,22,7,15,1017,11.88,August,8,Evening
POST-0059,11-06-2025,Wednesday,17,Instagram,Text,Entertainment,6711,1442,2564,23,1,1,3,0,1.94,June,6,Evening
POST-0060,07-07-2025,Monday,22,Instagram,Text,Product,6724,2717,3384,117,15,12,6,0,5.52,July,7,Night
POST-0061,08-04-2025,Tuesday,20,Instagram,Video,Tutorial,6777,2094,3121,200,22,21,10,1329,12.08,April,4,Night
POST-0062,01-07-2025,Tuesday,16,Instagram,Text,Product,6777,6719,9742,136,17,10,2,0,2.46,July,7,Evening
POST-0063,19-05-2025,Monday,16,Instagram,Carousel,Announcement,6803,1207,1534,114,15,10,4,0,11.85,May,5,Evening
POST-0064,01-04-2025,Tuesday,19,Instagram,Video,Behind the Scenes,6848,985,1611,114,16,8,12,932,15.23,April,4,Evening
POST-0065,29-12-2025,Monday,19,YouTube,Short,Announcement,6882,2343,3217,241,23,11,27,1701,12.89,December,12,Evening
POST-0066,05-01-2025,Sunday,21,Instagram,Image,Entertainment,6900,2713,4170,245,28,18,17,0,11.35,January,1,Night
POST-0067,05-02-2025,Wednesday,22,Facebook,Short,Product,6928,2901,4747,224,14,9,24,2204,9.34,February,2,Night
POST-0068,12-03-2025,Wednesday,19,LinkedIn,Short,Education,6966,4082,6512,402,41,11,13,2380,11.44,March,3,Evening
POST-0069,20-12-2025,Saturday,10,Instagram,Carousel,Announcement,7009,8436,9492,497,21,25,46,0,6.98,December,12,Morning
POST-0070,10-09-2025,Wednesday,15,YouTube,Video,Product,7026,2234,2438,144,24,14,15,1885,8.82,September,9,Afternoon
POST-0071,18-11-2025,Tuesday,8,YouTube,Short,Behind the Scenes,7063,1999,3328,193,32,6,8,879,11.96,November,11,Morning
POST-0072,15-03-2025,Saturday,10,Instagram,Carousel,Education,7094,1024,1574,59,2,1,5,0,6.54,March,3,Morning
POST-0073,21-09-2025,Sunday,10,Instagram,Text,Behind the Scenes,7135,3083,3579,137,4,5,14,0,5.19,September,9,Morning
POST-0074,15-05-2025,Thursday,18,LinkedIn,Video,Product,7180,4312,4948,189,16,17,4,1644,5.24,May,5,Evening
POST-0075,28-06-2025,Saturday,13,YouTube,Short,Announcement,7204,2337,3325,157,16,16,5,1340,8.3,June,6,Afternoon
POST-0076,02-01-2025,Thursday,20,Facebook,Short,Product,7215,5163,6110,289,28,12,22,3578,6.8,January,1,Night
POST-0077,14-08-2025,Thursday,17,Instagram,Image,Education,7247,2742,4792,233,18,27,9,0,10.47,August,8,Evening
POST-0078,30-10-2025,Thursday,22,YouTube,Image,Behind the Scenes,7297,6205,7557,566,69,38,16,0,11.1,October,10,Night
POST-0079,31-08-2025,Sunday,8,LinkedIn,Image,Behind the Scenes,7333,3239,5693,268,24,23,8,0,9.97,August,8,Morning
POST-0080,26-02-2025,Wednesday,10,LinkedIn,Video,Education,7364,1508,2392,153,12,12,15,947,12.73,February,2,Morning
POST-0081,14-07-2025,Monday,20,Instagram,Video,Education,7421,1900,2787,109,3,6,6,603,6.53,July,7,Night
POST-0082,08-04-2025,Tuesday,9,YouTube,Image,Product,7436,1160,1801,59,6,5,4,0,6.38,April,4,Morning
POST-0083,19-12-2025,Friday,12,Instagram,Video,Behind the Scenes,7475,1037,1627,112,3,11,8,842,12.92,December,12,Afternoon
POST-0084,18-11-2025,Tuesday,17,Facebook,Short,Behind the Scenes,7496,3123,3947,110,16,7,5,1873,4.42,November,11,Evening
POST-0085,09-03-2025,Sunday,14,Instagram,Image,Education,7525,4351,6161,349,34,17,33,0,9.95,March,3,Afternoon
POST-0086,06-07-2025,Sunday,20,Instagram,Carousel,Product,7554,7901,8689,507,42,57,34,0,8.1,July,7,Night
POST-0087,10-12-2025,Wednesday,9,Facebook,Image,Announcement,7600,2616,2840,187,24,16,4,0,8.83,December,12,Morning
POST-0088,06-11-2025,Thursday,9,YouTube,Image,Announcement,7617,2367,4160,196,31,10,14,0,10.6,November,11,Morning
POST-0089,16-09-2025,Tuesday,21,YouTube,Short,Education,7638,1465,2472,136,6,3,8,1049,10.44,September,9,Night
POST-0090,22-08-2025,Friday,17,LinkedIn,Image,Behind the Scenes,7647,4642,7497,162,14,9,17,0,4.35,August,8,Evening
POST-0091,16-01-2025,Thursday,10,Instagram,Carousel,Announcement,7681,3341,3768,60,9,3,8,0,2.39,January,1,Morning
POST-0092,28-09-2025,Sunday,11,Instagram,Image,Education,7703,1944,2950,200,31,19,3,0,13.01,September,9,Morning
POST-0093,22-06-2025,Sunday,10,Instagram,Carousel,Product,7737,3939,6248,387,33,34,34,0,12.39,June,6,Morning
POST-0094,03-02-2025,Monday,22,Instagram,Text,Product,7752,3672,5041,228,18,16,22,0,7.73,February,2,Night
POST-0095,31-03-2025,Monday,12,Instagram,Video,Behind the Scenes,7775,964,1285,85,12,8,5,529,11.41,March,3,Afternoon
POST-0096,17-07-2025,Thursday,13,YouTube,Image,Behind the Scenes,7816,4058,6471,103,3,7,6,0,2.93,July,7,Afternoon
POST-0097,23-09-2025,Tuesday,22,LinkedIn,Carousel,Tutorial,7842,2906,3073,156,7,16,17,0,6.74,September,9,Night
POST-0098,05-07-2025,Saturday,9,YouTube,Video,Tutorial,7877,2174,3049,183,20,3,12,1715,10.03,July,7,Morning
POST-0099,12-08-2025,Tuesday,20,YouTube,Text,Education,7912,2144,2663,178,20,4,10,0,9.89,August,8,Night
POST-0100,15-11-2025,Saturday,19,Instagram,Image,Behind the Scenes,7935,7055,9755,255,29,27,24,0,4.75,November,11,Evening
POST-0101,08-09-2025,Monday,9,YouTube,Video,Product,7945,6277,9192,185,26,16,13,3265,3.82,September,9,Morning
POST-0102,12-05-2025,Monday,12,Facebook,Short,Announcement,7984,7363,10053,840,135,37,15,6237,13.95,May,5,Afternoon
POST-0103,23-08-2025,Saturday,21,YouTube,Short,Education,8014,1434,2448,161,14,3,7,533,12.9,August,8,Night
POST-0104,07-08-2025,Thursday,14,Facebook,Carousel,Behind the Scenes,8054,1881,3219,56,4,1,7,0,3.62,August,8,Afternoon
POST-0105,09-02-2025,Sunday,19,YouTube,Text,Tutorial,8058,4438,7188,421,66,21,12,0,11.72,February,2,Evening
POST-0106,22-01-2025,Wednesday,9,Instagram,Video,Tutorial,8066,1387,2282,146,8,15,9,1246,12.83,January,1,Morning
POST-0107,29-08-2025,Friday,19,YouTube,Image,Announcement,8069,1815,2587,61,8,2,5,0,4.19,August,8,Evening
POST-0108,22-05-2025,Thursday,12,YouTube,Short,Announcement,8086,999,1252,107,14,3,2,542,12.61,May,5,Afternoon
POST-0109,07-08-2025,Thursday,11,Instagram,Text,Product,8127,7474,12419,382,59,38,13,0,6.58,August,8,Morning
POST-0110,28-04-2025,Monday,9,YouTube,Carousel,Product,8161,4839,5503,235,29,8,11,0,5.85,April,4,Morning
POST-0111,24-03-2025,Monday,19,Facebook,Carousel,Product,8189,3470,5189,99,4,4,9,0,3.34,March,3,Evening
POST-0112,24-02-2025,Monday,11,Instagram,Image,Education,8219,3042,4639,213,29,19,5,0,8.74,February,2,Morning
POST-0113,20-05-2025,Tuesday,16,YouTube,Carousel,Entertainment,8256,2144,2426,160,15,16,16,0,9.65,May,5,Evening
POST-0114,25-10-2025,Saturday,16,Facebook,Carousel,Entertainment,8280,2167,2607,126,7,14,13,0,7.38,October,10,Evening
POST-0115,27-05-2025,Tuesday,13,YouTube,Text,Tutorial,8313,3784,5880,98,3,2,10,0,2.99,May,5,Afternoon
POST-0116,19-05-2025,Monday,12,Instagram,Short,Tutorial,8342,1823,3086,189,12,8,6,1053,11.79,May,5,Afternoon
POST-0117,30-07-2025,Wednesday,8,Instagram,Short,Announcement,8344,5297,7114,279,12,21,19,2451,6.25,July,7,Morning
POST-0118,24-12-2025,Wednesday,18,YouTube,Text,Announcement,8368,2057,2979,86,3,4,10,0,5.01,December,12,Evening
POST-0119,24-05-2025,Saturday,15,Facebook,Video,Behind the Scenes,8412,1668,2637,135,21,11,8,1073,10.49,May,5,Afternoon
POST-0120,04-08-2025,Monday,21,YouTube,Short,Tutorial,8435,5507,8185,219,37,9,15,2645,5.08,August,8,Night
POST-0121,10-06-2025,Tuesday,11,Instagram,Image,Entertainment,8461,2491,3480,248,44,19,15,0,13.09,June,6,Morning
POST-0122,09-08-2025,Saturday,16,Facebook,Short,Entertainment,8482,3659,5593,302,34,10,29,1506,10.25,August,8,Evening
POST-0123,12-06-2025,Thursday,8,LinkedIn,Image,Product,8504,2146,3396,176,20,6,17,0,10.21,June,6,Morning
POST-0124,21-08-2025,Thursday,8,Instagram,Image,Announcement,8546,782,1290,36,1,3,3,0,5.5,August,8,Morning
POST-0125,19-07-2025,Saturday,14,Instagram,Short,Behind the Scenes,8571,3644,5359,235,10,18,27,2357,7.96,July,7,Afternoon
POST-0126,04-09-2025,Thursday,22,Instagram,Video,Product,8586,1286,1987,57,7,3,5,1033,5.6,September,9,Night
POST-0127,16-12-2025,Tuesday,18,Facebook,Image,Tutorial,8577,4891,5851,177,20,10,15,0,4.54,December,12,Evening
POST-0128,25-02-2025,Tuesday,10,LinkedIn,Image,Entertainment,8598,1149,1345,57,6,4,2,0,6.01,February,2,Morning
POST-0129,24-07-2025,Thursday,21,Instagram,Short,Education,8603,967,1602,99,13,11,6,353,13.34,July,7,Night
POST-0130,10-06-2025,Tuesday,13,Instagram,Video,Tutorial,8609,3194,3889,231,34,12,26,1694,9.49,June,6,Afternoon
POST-0131,11-05-2025,Sunday,13,Instagram,Short,Entertainment,8646,3408,4695,367,49,8,43,2653,13.7,May,5,Afternoon
POST-0132,29-03-2025,Saturday,15,YouTube,Video,Product,8683,2860,4901,91,2,3,1,2039,3.39,March,3,Afternoon
POST-0133,20-01-2025,Monday,21,LinkedIn,Image,Announcement,8688,1383,1604,54,6,5,5,0,5.06,January,1,Night
POST-0134,27-05-2025,Tuesday,17,Instagram,Carousel,Education,8726,4397,6855,85,12,3,1,0,2.3,May,5,Evening
POST-0135,29-10-2025,Wednesday,13,Instagram,Carousel,Tutorial,8759,1205,1489,119,17,10,2,0,12.28,October,10,Afternoon
POST-0136,05-02-2025,Wednesday,13,YouTube,Text,Behind the Scenes,8778,2089,3174,47,7,1,2,0,2.73,February,2,Afternoon
POST-0137,29-05-2025,Thursday,10,YouTube,Short,Product,8815,1748,2905,137,14,10,2,738,9.32,May,5,Morning
POST-0138,20-12-2025,Saturday,14,Facebook,Video,Behind the Scenes,8823,2191,3648,186,20,9,15,1124,10.5,December,12,Afternoon
POST-0139,14-12-2025,Sunday,22,YouTube,Short,Education,8837,4311,7040,180,5,13,11,3025,4.85,December,12,Night
POST-0140,20-03-2025,Thursday,17,Instagram,Carousel,Announcement,8848,1903,2737,201,20,10,11,0,12.72,March,3,Evening
POST-0141,03-01-2025,Friday,13,Instagram,Image,Announcement,8862,3679,5362,389,44,30,46,0,13.84,January,1,Afternoon
POST-0142,03-09-2025,Wednesday,14,LinkedIn,Short,Education,8901,3951,4658,164,27,15,8,2563,5.42,September,9,Afternoon
POST-0143,06-01-2025,Monday,10,Facebook,Text,Tutorial,8913,1052,1196,28,4,2,1,0,3.33,January,1,Morning
POST-0144,20-04-2025,Sunday,12,Instagram,Image,Announcement,8927,1419,2285,106,3,6,4,0,8.39,April,4,Afternoon
POST-0145,01-07-2025,Tuesday,16,Facebook,Text,Education,8944,2184,2378,128,6,3,1,0,6.32,July,7,Evening
POST-0146,16-11-2025,Sunday,14,Instagram,Video,Behind the Scenes,8974,1947,3406,162,13,16,14,1688,10.53,November,11,Afternoon
POST-0147,03-02-2025,Monday,8,Facebook,Video,Product,8998,3194,3798,253,36,7,21,1005,9.92,February,2,Morning
POST-0148,30-08-2025,Saturday,13,Instagram,Short,Entertainment,9036,932,1481,112,5,6,6,508,13.84,August,8,Afternoon
POST-0149,14-07-2025,Monday,15,LinkedIn,Image,Announcement,9056,4009,5555,321,46,31,39,0,10.9,July,7,Afternoon
POST-0150,18-02-2025,Tuesday,12,Instagram,Carousel,Product,9068,4062,6131,181,20,20,9,0,5.66,February,2,Afternoon
POST-0151,05-11-2025,Wednesday,15,YouTube,Image,Entertainment,9090,2458,3975,216,34,19,7,0,11.23,November,11,Afternoon
POST-0152,05-11-2025,Wednesday,17,Facebook,Video,Tutorial,9119,1260,1602,79,5,2,0,400,6.83,November,11,Evening
POST-0153,26-06-2025,Thursday,12,YouTube,Short,Tutorial,9135,2705,4514,343,29,39,9,2394,15.53,June,6,Afternoon
POST-0154,11-12-2025,Thursday,15,Instagram,Short,Entertainment,9167,2006,3242,139,5,2,8,1170,7.68,December,12,Afternoon
POST-0155,10-08-2025,Sunday,12,Instagram,Video,Behind the Scenes,9216,3683,5470,73,7,1,3,3418,2.28,August,8,Afternoon
POST-0156,26-11-2025,Wednesday,14,Instagram,Video,Education,9237,2573,3809,301,42,27,17,2091,15.04,November,11,Afternoon
POST-0157,17-12-2025,Wednesday,15,Instagram,Short,Tutorial,9266,4025,5385,195,20,21,2,2244,5.91,December,12,Afternoon
POST-0158,27-07-2025,Sunday,18,Instagram,Text,Announcement,9310,2125,3775,194,20,16,2,0,10.92,July,7,Evening
POST-0159,13-04-2025,Sunday,9,Instagram,Short,Behind the Scenes,9330,5963,7994,502,83,52,41,3590,11.37,April,4,Morning
POST-0160,23-02-2025,Sunday,20,YouTube,Image,Education,9348,759,934,66,8,5,4,0,10.94,February,2,Night
POST-0161,25-07-2025,Friday,19,Instagram,Image,Behind the Scenes,9362,1542,2264,128,9,3,14,0,9.99,July,7,Evening
POST-0162,12-03-2025,Wednesday,17,YouTube,Image,Product,9395,3533,6150,362,61,29,41,0,13.95,March,3,Evening
POST-0163,01-10-2025,Wednesday,10,Instagram,Video,Education,9429,1174,2047,126,16,11,6,930,13.54,October,10,Morning
POST-0164,05-12-2025,Friday,13,Instagram,Image,Product,9455,4043,5998,304,22,20,20,0,9.05,December,12,Afternoon
POST-0165,31-03-2025,Monday,19,Instagram,Video,Entertainment,9483,1381,1856,74,3,6,6,1256,6.44,March,3,Evening
POST-0166,21-07-2025,Monday,22,Facebook,Video,Announcement,9526,2839,4571,189,24,11,4,1324,8.03,July,7,Night
POST-0167,18-01-2025,Saturday,22,Instagram,Image,Product,9565,1630,2394,68,6,1,7,0,5.03,January,1,Night
POST-0168,07-03-2025,Friday,9,YouTube,Video,Tutorial,9576,2116,3527,119,14,11,5,1526,7.04,March,3,Morning
POST-0169,18-05-2025,Sunday,18,Facebook,Image,Tutorial,9603,2969,4972,160,7,6,7,0,6.06,May,5,Evening
POST-0170,19-11-2025,Wednesday,20,YouTube,Carousel,Product,9632,2546,4014,144,20,5,9,0,6.99,November,11,Night
POST-0171,20-12-2025,Saturday,19,LinkedIn,Carousel,Education,9669,2186,3890,86,13,2,8,0,4.99,December,12,Evening
POST-0172,23-08-2025,Saturday,14,LinkedIn,Text,Announcement,9694,8815,13544,360,33,19,45,0,5.18,August,8,Afternoon
POST-0173,01-08-2025,Friday,18,Instagram,Text,Entertainment,9714,2709,4824,120,8,6,14,0,5.46,August,8,Evening
POST-0174,27-07-2025,Sunday,13,Facebook,Carousel,Product,9736,1582,2434,49,8,1,0,0,3.67,July,7,Afternoon
POST-0175,23-01-2025,Thursday,10,Instagram,Text,Product,9742,4492,5452,312,54,10,9,0,8.57,January,1,Morning
POST-0176,18-05-2025,Sunday,20,Instagram,Image,Behind the Scenes,9770,4235,6440,103,4,6,5,0,2.79,May,5,Night
POST-0177,25-12-2025,Thursday,10,YouTube,Short,Education,9790,5284,8590,247,27,5,3,3002,5.34,December,12,Morning
POST-0178,30-05-2025,Friday,17,YouTube,Image,Entertainment,9823,7208,9855,237,22,15,15,0,4.01,May,5,Evening
POST-0179,19-03-2025,Wednesday,13,LinkedIn,Image,Announcement,9839,1608,1890,120,8,3,8,0,8.64,March,3,Afternoon
POST-0180,29-03-2025,Saturday,22,Instagram,Text,Behind the Scenes,9861,4830,6345,201,21,6,15,0,5.03,March,3,Night
POST-0181,18-09-2025,Thursday,13,Facebook,Carousel,Tutorial,9877,5048,8259,118,15,3,6,0,2.81,September,9,Afternoon
POST-0182,14-01-2025,Tuesday,21,YouTube,Image,Behind the Scenes,9892,2697,3251,255,21,25,9,0,11.49,January,1,Night
POST-0183,20-12-2025,Saturday,12,Instagram,Short,Product,9928,3086,3266,202,15,20,14,2515,8.13,December,12,Afternoon
POST-0184,16-11-2025,Sunday,9,LinkedIn,Image,Behind the Scenes,9950,517,883,43,6,5,0,0,10.44,November,11,Morning
POST-0185,27-07-2025,Sunday,13,Facebook,Short,Behind the Scenes,9983,1967,3498,97,11,9,1,1532,6,July,7,Afternoon
POST-0186,20-06-2025,Friday,15,Instagram,Video,Product,9997,7211,12270,403,30,27,36,5564,6.88,June,6,Afternoon
POST-0187,05-10-2025,Sunday,22,LinkedIn,Video,Behind the Scenes,10026,1009,1665,74,3,3,2,746,8.13,October,10,Night
POST-0188,19-07-2025,Saturday,19,Instagram,Video,Entertainment,10033,2008,3207,52,3,3,1,1341,2.94,July,7,Evening
POST-0189,24-06-2025,Tuesday,14,Instagram,Video,Entertainment,10055,3160,4624,389,65,31,13,1757,15.76,June,6,Afternoon
POST-0190,28-04-2025,Monday,9,Instagram,Text,Tutorial,10076,3701,5695,104,15,11,8,0,3.73,April,4,Morning
POST-0191,13-06-2025,Friday,13,LinkedIn,Video,Education,10111,6616,10650,722,43,37,26,3796,12.52,June,6,Afternoon
POST-0192,02-10-2025,Thursday,16,Instagram,Image,Announcement,10140,1022,1324,77,8,7,7,0,9.69,October,10,Evening
POST-0193,21-01-2025,Tuesday,15,LinkedIn,Carousel,Behind the Scenes,10166,2761,3324,220,6,25,21,0,9.85,January,1,Afternoon
POST-0194,10-01-2025,Friday,22,YouTube,Carousel,Entertainment,10203,4327,6795,159,25,17,9,0,4.85,January,1,Night
POST-0195,20-09-2025,Saturday,12,Instagram,Short,Entertainment,10233,1309,1966,148,25,11,16,499,15.28,September,9,Afternoon
POST-0196,16-05-2025,Friday,11,YouTube,Image,Education,10267,2639,4731,178,10,13,18,0,8.3,May,5,Morning
POST-0197,21-10-2025,Tuesday,12,YouTube,Video,Product,10304,7605,10349,495,40,58,11,5349,7.94,October,10,Afternoon
POST-0198,12-01-2025,Sunday,9,YouTube,Short,Entertainment,10331,5564,7570,226,16,13,7,2865,4.71,January,1,Morning
POST-0199,28-11-2025,Friday,9,Facebook,Video,Announcement,10355,3629,4142,126,7,11,2,1866,4.02,November,11,Morning
POST-0200,14-02-2025,Friday,12,Facebook,Video,Announcement,10386,640,679,66,8,1,6,252,12.66,February,2,Afternoon
POST-0201,01-06-2025,Sunday,11,LinkedIn,Video,Entertainment,10408,2510,2897,287,24,11,8,1480,13.15,June,6,Morning
POST-0202,20-12-2025,Saturday,13,Instagram,Image,Education,10441,3336,4984,181,5,11,12,0,6.26,December,12,Afternoon
POST-0203,09-02-2025,Sunday,19,Facebook,Text,Entertainment,10481,2276,4035,174,10,16,3,0,8.92,February,2,Evening
POST-0204,29-08-2025,Friday,12,YouTube,Short,Education,10519,2601,2951,250,31,9,25,2378,12.11,August,8,Afternoon
POST-0205,23-09-2025,Tuesday,20,Facebook,Carousel,Behind the Scenes,10542,14704,17204,837,113,85,95,0,7.68,September,9,Night
POST-0206,06-06-2025,Friday,14,LinkedIn,Image,Education,10554,2397,3742,133,4,10,13,0,6.68,June,6,Afternoon
POST-0207,29-01-2025,Wednesday,10,LinkedIn,Carousel,Entertainment,10581,1582,2019,98,11,3,10,0,7.71,January,1,Morning
POST-0208,11-07-2025,Friday,20,Instagram,Carousel,Announcement,10607,3082,3341,147,18,3,8,0,5.71,July,7,Night
POST-0209,08-06-2025,Sunday,11,YouTube,Image,Behind the Scenes,10647,2267,3889,198,24,11,6,0,10.54,June,6,Morning
POST-0210,15-11-2025,Saturday,15,LinkedIn,Video,Product,10670,2274,2641,134,16,12,1,944,7.17,November,11,Afternoon
